Episode,D-PER-DDQN,PER-DDQN,MS-DDQN
477,245.0,18,-0.6000000000000014
478,229.0,18,-6.814552941723527
479,230.0,20,-26.825018904540606
480,244.38897401460292,20,4.500000000000002
481,253.58702007801057,17,-11.300000000000008
482,214.0,20,-2.200000000000003
483,230.0,18,-19.10000000000001
484,236.38897401460292,3,-25.60000000000001
485,225.0,20,-2.700000000000003
486,253.35455253172074,20,-14.800000000000011
487,224.0,20,-1273.4803398874983
488,230.0,14,-28.999201639004596
489,214.0,14,-11.300000000000008
490,235.0,10,-20.18550690785697
491,227.0,13,4.500000000000002
492,209.0,20,-22.088303125230368
493,226.5685424949238,20,-9.87599317628839
494,227.0,20,-14.400000000000006
495,237.2620968266859,16,-5.690727924366527
496,219.0,19,-27.300000000000004
497,242.75647648695303,18,-41.308245044652004
498,243.57359312880715,20,-8.800000000000004
499,235.0,11,-9.400000000000006
